date,daily_vaccinations,data_anomaly,first_dose,second_dose,third_dose,total_doses
2021-02-24,0,,0,0,0,0
2021-02-25,0,,0,0,0,0
2021-02-26,0,,0,0,0,0
2021-02-27,0,,0,0,0,0
2021-02-28,0,,0,0,0,0
2021-03-01,0,,0,0,0,0
2021-03-02,0,,0,0,0,0
2021-03-03,0,,0,0,0,0
2021-03-04,0,,0,0,0,0
2021-03-05,0,,0,0,0,0
2021-03-06,27497,,27497,0,0,27497
2021-03-07,0,,27497,0,0,27497
2021-03-08,2403,,29900,0,0,29900
2021-03-09,3721,,33621,0,0,33621
2021-03-10,3176,,36797,0,0,36797
2021-03-11,3343,,40140,0,0,40140
2021-03-12,4269,,44409,0,0,44409
2021-03-13,554,,44963,0,0,44963
2021-03-14,1635,,46598,0,0,46598
2021-03-15,3790,,50388,0,0,50388
2021-03-16,3454,,53842,0,0,53842
2021-03-17,4182,,58024,0,0,58024
2021-03-18,4917,,62941,0,0,62941
2021-03-19,4282,,67223,0,0,67223
2021-03-20,2704,,69927,0,0,69927
2021-03-21,3590,,73517,0,0,73517
2021-03-22,11724,,82812,2429,0,85241
2021-03-23,0,,82812,2429,0,85241
2021-03-24,35360,,109153,11448,0,120601
2021-03-25,15589,,121392,14798,0,136190
2021-03-26,12715,,129509,19396,0,148905
2021-03-27,1202,,130187,19920,0,150107
2021-03-28,4186,,133110,21183,0,154293
2021-03-29,12065,,141081,25277,0,166358
2021-03-30,14119,,151413,29064,0,180477
2021-03-31,11268,,158497,33248,0,191745
2021-04-01,10406,,165975,36176,0,202151
2021-04-02,29731,,189666,42216,0,231882
2021-04-03,12372,,201864,42390,0,244254
2021-04-04,13230,,213948,43536,0,257484
2021-04-05,37397,,247850,47031,0,294881
2021-04-06,29108,,274354,49635,0,323989
2021-04-07,67763,,336808,54944,0,391752
2021-04-08,74622,,405911,60463,0,466374
2021-04-09,71006,,470301,67079,0,537380
2021-04-10,18016,,485957,69439,0,555396
2021-04-11,14656,,498791,71261,0,570052
2021-04-12,8480,,505215,73317,0,578532
2021-04-13,773,,505744,73561,0,579305
2021-04-14,0,,505744,73561,0,579305
2021-04-15,6727,,510456,75576,0,586032
2021-04-16,19227,,523830,81429,0,605259
2021-04-17,3262,,526706,81815,0,608521
2021-04-18,10062,,535925,82658,0,618583
2021-04-19,47627,,571825,94385,0,666210
2021-04-20,46400,,604947,107663,0,712610
2021-04-21,152230,,746617,118223,0,864840
2021-04-22,99985,,834082,130743,0,964825
2021-04-23,130620,,934449,160996,0,1095445
2021-04-24,28708,,949124,175029,0,1124153
2021-04-25,25513,,972204,177462,0,1149666
2021-04-26,77366,,1012388,214644,0,1227032
2021-04-27,52681,,1038960,240753,0,1279713
2021-04-28,64933,,1059721,284925,0,1344646
2021-04-29,66968,,1075756,335858,0,1411614
2021-04-30,65464,,1095230,381848,0,1477078
2021-05-01,7487,,1097862,386703,0,1484565
2021-05-02,2342,,1099460,387447,0,1486907
2021-05-03,11710,,1106071,392546,0,1498617
2021-05-04,69590,,1145696,422511,0,1568207
2021-05-05,33626,,1167719,434114,0,1601833
2021-05-06,49949,,1201258,450524,0,1651782
2021-05-07,78706,,1262703,467785,0,1730488
2021-05-08,13232,,1273666,470054,0,1743720
2021-05-09,66174,,1296440,513454,0,1809894
