,province,over_60_1st_dose,total_1st_dose,total_2nd_dose,total_3rd_dose,date
0,กระบี่,44621,349026,318841,22163,2021-11-28T23:27
1,กรุงเทพมหานคร,1179637,8976669,7928808,963641,2021-11-28T23:27
2,กาญจนบุรี,67656,475137,425633,10357,2021-11-28T23:27
3,กาฬสินธุ์,102749,458308,362285,12307,2021-11-28T23:27
4,กำแพงเพชร,75423,379852,330849,12007,2021-11-28T23:27
5,ขอนแก่น,189843,991570,822787,40393,2021-11-28T23:27
6,จันทบุรี,62567,386176,322827,20163,2021-11-28T23:27
7,ฉะเชิงเทรา,84366,624228,500486,31986,2021-11-28T23:27
8,ชลบุรี,157374,1829650,1670312,113695,2021-11-28T23:27
9,ชัยนาท,44508,176288,140415,7237,2021-11-28T23:27
10,ชัยภูมิ,127514,561206,457114,20725,2021-11-28T23:27
11,ชุมพร,57705,317764,248019,9426,2021-11-28T23:27
12,ตรัง,76873,442298,376374,21698,2021-11-28T23:27
13,ตราด,26316,160940,143053,9132,2021-11-28T23:27
14,ตาก,47008,343759,252903,43307,2021-11-28T23:27
15,นครนายก,27545,141843,127923,11174,2021-11-28T23:27
16,นครปฐม,81117,612658,585194,28025,2021-11-28T23:27
17,นครพนม,58999,329927,259176,10781,2021-11-28T23:27
18,นครราชสีมา,256010,1612500,1398233,135616,2021-11-28T23:27
19,นครศรีธรรมราช,188871,987288,750259,31906,2021-11-28T23:27
20,นครสวรรค์,131725,587292,525994,20702,2021-11-28T23:27
21,นนทบุรี,127810,1062969,926622,165143,2021-11-28T23:27
22,นราธิวาส,48209,411825,320416,19684,2021-11-28T23:27
23,น่าน,67148,274158,223041,7203,2021-11-28T23:27
24,บึงกาฬ,32114,192118,146487,4878,2021-11-28T23:27
25,บุรีรัมย์,186260,950854,812681,94228,2021-11-28T23:27
26,ปทุมธานี,126296,1245923,1091108,49996,2021-11-28T23:27
27,ประจวบคีรีขันธ์,57960,389887,345319,19164,2021-11-28T23:27
28,ปราจีนบุรี,48129,341187,299034,14611,2021-11-28T23:27
29,ปัตตานี,42280,377245,294862,17133,2021-11-28T23:27
30,พระนครศรีอยุธยา,83940,598384,557000,28875,2021-11-28T23:27
31,พะเยา,71463,281156,241600,12023,2021-11-28T23:27
32,พังงา,33686,207068,190370,22881,2021-11-28T23:27
33,พัทลุง,67646,295511,259174,11864,2021-11-28T23:27
34,พิจิตร,70646,284198,251265,13537,2021-11-28T23:27
35,พิษณุโลก,93035,517435,439591,23138,2021-11-28T23:27
36,ภูเก็ต,45195,472735,456523,260037,2021-11-28T23:27
37,มหาสารคาม,104587,474927,387179,14032,2021-11-28T23:27
38,มุกดาหาร,31408,191535,153626,9793,2021-11-28T23:27
39,ยะลา,37199,341742,279529,15081,2021-11-28T23:27
40,ยโสธร,56877,253600,207785,7545,2021-11-28T23:27
41,ระนอง,21215,174964,150737,22140,2021-11-28T23:27
42,ระยอง,66416,700744,608728,28990,2021-11-28T23:27
43,ราชบุรี,79670,475199,442834,21311,2021-11-28T23:27
44,ร้อยเอ็ด,140798,621192,511226,19848,2021-11-28T23:27
45,ลพบุรี,73057,378076,350336,17322,2021-11-28T23:27
46,ลำปาง,104411,405778,353349,14121,2021-11-28T23:27
47,ลำพูน,55248,281499,242018,7656,2021-11-28T23:27
48,ศรีสะเกษ,151993,714989,582559,20236,2021-11-28T23:27
49,สกลนคร,90579,522414,429311,17520,2021-11-28T23:27
50,สงขลา,166146,1097902,926822,85919,2021-11-28T23:27
51,สตูล,26219,179643,156521,9097,2021-11-28T23:27
52,สมุทรปราการ,132972,1546513,1301728,118910,2021-11-28T23:27
53,สมุทรสงคราม,21990,99579,91221,7954,2021-11-28T23:27
54,สมุทรสาคร,63373,847989,729012,77561,2021-11-28T23:27
55,สระบุรี,61993,443796,420908,24995,2021-11-28T23:27
56,สระแก้ว,47248,289994,236208,13661,2021-11-28T23:27
57,สิงห์บุรี,29822,118532,109608,6928,2021-11-28T23:27
58,สุพรรณบุรี,88053,439225,384859,22895,2021-11-28T23:27
59,สุราษฎร์ธานี,115814,803630,635498,69110,2021-11-28T23:27
60,สุรินทร์,143841,665777,571110,27013,2021-11-28T23:27
61,สุโขทัย,75552,312290,276902,12614,2021-11-28T23:27
62,หนองคาย,51362,278699,240106,13394,2021-11-28T23:27
63,หนองบัวลำภู,45513,229608,179020,5561,2021-11-28T23:27
64,อำนาจเจริญ,39539,200922,169171,7199,2021-11-28T23:27
65,อุดรธานี,155259,872235,749792,28432,2021-11-28T23:27
66,อุตรดิตถ์,66999,270774,233616,10574,2021-11-28T23:27
67,อุทัยธานี,33897,175704,157855,8357,2021-11-28T23:27
68,อุบลราชธานี,180236,982773,786833,31405,2021-11-28T23:27
69,อ่างทอง,36740,151329,122285,8652,2021-11-28T23:27
70,เชียงราย,167203,762736,602638,27041,2021-11-28T23:27
71,เชียงใหม่,249844,1413617,1108212,70829,2021-11-28T23:27
72,เพชรบุรี,53072,332205,298045,23169,2021-11-28T23:27
73,เพชรบูรณ์,115908,532276,462743,23543,2021-11-28T23:27
74,เลย,71991,360251,306331,8579,2021-11-28T23:27
75,แพร่,52805,230193,197314,6744,2021-11-28T23:27
76,แม่ฮ่องสอน,16401,121599,95312,4493,2021-11-28T23:27
