,date,AstraZeneca,AstraZeneca_rate,Johnson & Johnson,JnJ_rate,Sinopharm,Sinopharm_rate,Sinovac,Sinovac_rate,Pfizer,Pfizer_rate
0,2021-03-01,0,0,0,0,0,0,0,3188,0,0
1,2021-03-02,0,0,0,0,0,0,0,4835,0,0
2,2021-03-03,0,2,0,0,0,0,0,6818,0,0
3,2021-03-04,0,0,0,0,0,0,0,5890,0,0
4,2021-03-05,0,0,0,0,0,0,0,6381,0,0
5,2021-03-06,0,0,0,0,0,0,0,573,0,0
6,2021-03-07,0,0,0,0,0,0,0,3,0,0
7,2021-03-08,0,0,0,0,0,0,0,3052,0,0
8,2021-03-09,0,10,0,0,0,0,0,2518,0,0
9,2021-03-10,0,0,0,0,0,0,0,2607,0,0
10,2021-03-11,0,0,0,0,0,0,0,3415,0,0
11,2021-03-12,0,11,0,0,0,0,0,4301,0,0
12,2021-03-13,0,0,0,0,0,0,0,531,0,0
13,2021-03-14,0,0,0,0,0,0,0,1623,0,0
14,2021-03-15,0,0,0,0,0,0,0,3809,0,0
15,2021-03-16,0,35,0,0,0,0,0,4331,0,0
16,2021-03-17,0,11,0,0,0,0,0,5690,0,0
17,2021-03-18,0,36,0,0,0,0,0,5718,0,0
18,2021-03-19,0,728,0,0,0,0,0,4458,0,0
19,2021-03-20,0,1935,0,0,0,0,0,2253,0,0
20,2021-03-21,0,1739,0,0,0,0,0,3613,0,0
21,2021-03-22,0,524,0,0,0,0,0,14003,0,0
22,2021-03-23,0,1352,0,0,0,0,0,18154,0,0
23,2021-03-24,0,1269,0,0,0,0,0,17725,0,0
24,2021-03-25,0,2174,0,0,0,0,0,11810,0,0
25,2021-03-26,0,2821,0,0,0,0,0,9822,0,0
26,2021-03-27,0,2308,0,0,0,0,0,1181,0,0
27,2021-03-28,0,1022,0,0,0,0,0,789,0,0
28,2021-03-29,0,5988,0,0,0,0,0,6440,0,0
29,2021-03-30,0,6289,0,0,0,0,0,6308,0,0
30,2021-03-31,0,4607,0,0,0,0,0,5459,0,0
31,2021-04-01,0,4908,0,0,0,0,0,9775,0,0
32,2021-04-02,0,5220,0,0,0,0,0,23852,0,0
33,2021-04-03,0,941,0,0,0,0,0,11840,0,0
34,2021-04-04,0,449,0,0,0,0,0,13712,0,0
35,2021-04-05,0,2667,0,0,0,0,0,39407,0,0
36,2021-04-06,0,406,0,0,0,0,0,37651,0,0
37,2021-04-07,0,4109,0,0,0,0,0,66176,0,0
38,2021-04-08,0,3891,0,0,0,0,0,73671,0,0
39,2021-04-09,0,3202,0,0,0,0,0,71048,0,0
40,2021-04-10,0,663,0,0,0,0,0,12323,0,0
41,2021-04-11,0,64,0,0,0,0,0,4839,0,0
42,2021-04-12,0,180,0,0,0,0,0,4047,0,0
43,2021-04-13,0,50,0,0,0,0,0,744,0,0
44,2021-04-14,0,37,0,0,0,0,0,2101,0,0
